Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
G06,143_21SM_CSM_B,Mem,71.57085419,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,1431.417114,NA,NA,75.98072815,67.17745209,17214,1016,16198,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,789.7038574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655.64222,542.9337531,667.6294544,NA,NA,NA,NA,73.81873322,69.32727814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H03,118_21SP_CSM_C,Mem,1.17601335,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,23.52026749,NA,NA,1.809849262,0.711020887,18016,18,17998,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,649.9103394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083.488193,514.2855225,514.8542197,NA,NA,NA,NA,1.475365758,0.920261085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H06,144_21SM_CSM_C,Mem,30.27770424,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,605.5540771,NA,NA,32.94274902,27.61868286,19561,497,19064,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,748.8400269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2714.081974,543.4009961,598.553005,NA,NA,NA,NA,31.63666534,28.92030907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A02,012_21SP_RAM_F,Mem,0.059675395,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,1.19350791,NA,NA,0.285036981,0.002506306,19715,1,19714,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,718.6170654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2589.662842,522.5939686,522.6988162,NA,NA,NA,NA,0.148537681,0.016171733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A06,053_21SM_RAM_A,Mem,1.450758696,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,29.01517487,NA,NA,2.130518198,0.933894277,18663,23,18640,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,693.9786987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859.9781866,570.281076,570.6380943,NA,NA,NA,NA,1.774269462,1.169234633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B06,054_21SM_RAM_D,Mem,0.061891817,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,1.237836361,NA,NA,0.295624703,0.002599391,19009,1,19008,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,834.4562988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2343.948242,566.2123865,566.3059072,NA,NA,NA,NA,0.154054776,0.016772361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C06,055_21SM_RAM_F,Mem,1.063893914,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,21.27787781,NA,NA,1.619684935,0.652724802,21020,19,21001,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,706.7781372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815.0832391,575.9107875,576.1269757,NA,NA,NA,NA,1.32682395,0.838268042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D10,094_21SP_RAM_B,Mem,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,NA,NA,NA,NA,NA,17759,0,17759,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,527.247057,527.247057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10,095_21SP_RAM_C,Mem,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,NA,NA,NA,NA,NA,21380,0,21380,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,528.1930887,528.1930887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F10,096_21SP_RAM_E,Mem,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,NA,NA,NA,NA,NA,19872,0,19872,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,541.4297027,541.4297027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G01,010_21SP_RAM_A,Mem,1.120248199,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,22.40496445,NA,NA,1.766696572,0.654935598,16811,16,16795,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,651.7921143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,889.4782028,525.9850508,526.3310082,NA,NA,NA,NA,1.424229503,0.862986863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H01,011_21SP_RAM_D,Mem,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,NA,NA,NA,NA,NA,17370,0,17370,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,521.7683616,521.7683616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A05,128_21SM_RAM_C,Mem,17.68886757,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,353.7773438,NA,NA,19.72655296,15.654706,19433,290,19143,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,804.7053833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935.426697,519.0267246,540.1637591,NA,NA,NA,NA,18.72806358,16.6505909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B05,129_21SM_RAM_E,Mem,0.274828166,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,5.496563435,NA,NA,0.648078799,0.08292263,17125,4,17121,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,745.6265259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2218.233765,526.3806966,526.775874,NA,NA,NA,NA,0.438999891,0.157812223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H04,127_21SM_RAM_B,Mem,0.06538672,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,1.30773437,NA,NA,0.312319756,0.002746169,17993,1,17992,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,837.47052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707.75708,539.1410816,539.2616071,NA,NA,NA,NA,0.162754282,0.017719442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A04,031_21SP_MSH_A,Mem,1.912377596,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,38.24755096,NA,NA,2.656594515,1.322316527,19702,32,19670,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,683.1303101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921.821215,549.3283602,551.5575639,NA,NA,NA,NA,2.26991868,1.594588161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B04,032_21SP_MSH_D,Mem,2.101061583,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,42.0212326,NA,NA,2.891722918,1.469854474,19055,34,19021,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,675.7505493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.666393,543.8162359,545.7608649,NA,NA,NA,NA,2.48150754,1.761733294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C04,033_21SP_MSH_F,Mem,2.160644531,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,43.21289063,NA,NA,2.973756075,1.511525869,18530,34,18496,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,687.9371948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1709.486319,556.5323685,558.6478804,NA,NA,NA,NA,2.551891327,1.811686039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C12,110_21SP_MSH_B,Mem,1.562971115,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,31.2594223,NA,NA,2.218306303,1.05165112,21090,28,21062,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,709.7398071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185.044813,578.5700298,579.3752121,NA,NA,NA,NA,1.876708746,1.286397338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D12,112_21SP_MSH_C,Mem,0.735523999,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,14.71047974,NA,NA,1.237967372,0.391915768,19200,12,19188,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,925.4728394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2474.735942,578.5551347,579.7402477,NA,NA,NA,NA,0.969210386,0.542833567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08,079_21SM_MSH_A,Mem,28.18916893,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,563.7833862,NA,NA,30.7794323,25.60459328,19260,456,18804,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,752.9743042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2560.944133,600.2745138,646.6953521,NA,NA,NA,NA,29.51002121,26.86979866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E12,113_21SP_MSH_E,Mem,2.739025593,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,54.78050995,NA,NA,3.611732006,2.020009995,19781,46,19735,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,706.7216797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1161.007347,579.1896266,580.5426226,NA,NA,NA,NA,3.161939621,2.355714321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F08,080_21SM_MSH_D,Mem,104.106575,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,2082.131592,NA,NA,109.2643585,98.97130585,18574,1573,17001,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,924.9395752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2289.852204,580.4295301,725.1975858,NA,NA,NA,NA,106.7352753,101.4837341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G08,081_21SM_MSH_F,Mem,41.23542786,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,824.7085571,NA,NA,44.54805374,37.93209839,17333,597,16736,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,885.2885742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2282.159169,583.8741446,642.3681249,NA,NA,NA,NA,42.92437744,39.54889679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H08,082_21SM_MSH_G,Mem,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,NA,NA,NA,NA,NA,18185,0,18185,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,573.9167292,573.9167292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B07,146_21SM_MSH_B,Mem,72.86800385,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,1457.360107,NA,NA,77.34036255,68.41256714,17050,1024,16026,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,668.1220093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2477.306316,537.8394878,654.3212493,NA,NA,NA,NA,75.14769745,70.5927124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C07,147_21SM_MSH_C,Mem,77.38519287,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,1547.703857,NA,NA,81.62973785,73.15589905,20138,1282,18856,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,917.7744141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2554.309711,531.2519987,660.0413515,NA,NA,NA,NA,79.54885864,75.22548676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D07,148_21SM_MSH_E,Mem,25.47669411,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,509.5338745,NA,NA,28.06857491,22.89051437,17365,372,16993,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,832.6522217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2511.953097,531.1335598,573.567471,NA,NA,NA,NA,26.79836845,24.15650749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A01,004_21SP_ALN_F,DJ,1.824670196,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,36.49340439,,,2.547432899,1.253773928,20003,31,19972,0,0,0,0,,,,,,,,,1118.114624,,,,,,,,,,,,,,5502.539783,796.3452644,803.6387719,,,,,2.1716187,1.516867638,,,,,,,,,,,,
A02,040_21SP_CSM_A,DJ,10.03804684,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,200.7609406,,,11.58964634,8.488489151,18950,161,18789,0,0,0,0,,,,,,,,,1256.400146,,,,,,,,,,,,,,4952.237214,740.3423955,776.1268317,,,,,10.82942295,9.247200012,,,,,,,,,,,,
A03,063_21SM_ALN_D,DJ,2115.385742,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,42307.71484,,,2154.853516,2077.199219,17782,14837,2945,0,0,0,0,,,,,,,,,1769.632935,,,,,,,,,,,,,,5315.222712,769.5476341,4562.382024,,,,,2135.356934,2095.748047,,,,,,,,,,,,
